Banco,ener_12,feb_12,mar_12,abri_12,mayo_12,jun_12,jul_12,agos_12,sept_12,oct_12,nov_12,dici_12,ener_13,feb_13,mar_13,abri_13,mayo_13,jun_13,jul_13,agos_13,sept_13,oct_13,nov_13,dici_13,ener_14,feb_14,mar_14,abri_14,mayo_14,jun_14,jul_14,agos_14,sept_14,oct_14,nov_14,dici_14,ener_15,feb_15,mar_15,abri_15,mayo_15,jun_15,jul_15,agos_15,sept_15,oct_15,nov_15,dici_15,ener_16,feb_16,mar_16,abri_16,mayo_16,jun_16,jul_16,agos_16,sept_16,oct_16,nov_16,dici_16,ener_17,feb_17,mar_17,abri_17,mayo_17,jun_17,jul_17,agos_17,sept_17,oct_17,nov_17,dici_17,ener_18,feb_18,mar_18,abri_18,mayo_18,jun_18,jul_18,agos_18,sept_18,oct_18,nov_18,dici_18,ener_19,feb_19,mar_19,abri_19,mayo_19,jun_19,jul_19,agos_19,sept_19,oct_19,nov_19,dici_19
BANESTADO,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,3,1,2,2,2,3,1,1,2,3,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,4,5,7,5,2,2,2,2,3,1,1,3,2,2,2,2,3,1,3,2,2,1,1,1,1,1,1,3,1,1,4,1,3,2,2,4,3,2,2,4,2,4,2,3,4,4
BBVA,4,4,3,4,3,3,4,4,5,5,8,4,8,5,8,4,7,3,5,4,3,4,3,5,4,1,3,1,1,2,2,2,2,1,2,2,1,2,2,3,3,3,2,2,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,1,4,2,1,4,4,1,4,3,4,4,5,3,4,3,3,2,2,22
SANTANDER,3,3,5,3,2,2,2,1,2,1,1,3,2,2,2,1,1,2,3,3,7,6,5,2,6,5,4,5,5,8,6,6,3,3,4,4,4,4,6,5,6,5,3,1,3,2,4,4,9,4,2,4,3,2,3,3,3,3,2,3,2,8,3,4,3,3,2,2,3,2,2,3,2,2,2,3,1,1,2,3,3,2,3,2,4,4,6,3
BANCHILE,8,8,9,11,8,5,5,8,6,8,7,6,5,9,7,3,5,7,8,9,8,9,9,8,5,7,6,7,9,6,4,5,4,8,6,9,8,6,9,6,7,9,9,7,11,10,9,9,6,10,9,6,7,5,4,6,8,10,7,4,11,9,8,3,4,5,4,4,4,5,3,4,3,3,1,4,3,2,1,1,1,1,1,1,1,1,1,1
CREDICORP,2,1,2,2,5,7,6,5,4,4,3,2,3,3,9,7,2,4,4,5,5,5,7,9,9,8,8,10,7,7,7,9,8,7,7,6,6,7,4,2,2,2,1,3,2,3,3,5,5,9,10,11,8,12,12,17,13,9,11,10,6,10,10,11,6,7,6,6,7,7,6,8,8,8,8,8,10,8,8,9,8,9,8,11,8,14,9,12
BICE,6,5,4,5,4,4,3,3,3,3,4,5,4,6,3,5,8,5,1,1,1,1,4,3,1,2,2,4,4,5,5,4,5,5,3,3,3,3,5,9,8,4,6,9,5,6,8,10,8,7,6,8,6,6,5,5,6,4,4,7,9,7,7,5,9,4,8,5,5,6,8,10,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
BCI,5,7,6,8,7,9,8,7,9,9,9,8,11,11,6,10,9,9,9,7,6,2,6,7,7,6,7,6,6,4,8,7,7,4,8,5,5,5,3,4,4,6,5,4,8,4,5,1,3,6,5,5,5,4,6,4,4,5,5,5,4,3,4,6,5,6,5,7,6,4,5,5,5,5,5,7,5,6,6,6,6,6,6,6,6,6,3,6
LARRAIN VIAL,7,6,7,6,6,6,7,6,8,10,6,7,6,4,4,8,4,8,6,6,4,7,2,4,3,4,5,2,3,3,3,3,6,6,5,8,7,9,8,7,9,8,8,6,9,9,10,8,7,5,4,3,4,8,8,9,5,6,6,9,10,4,6,10,7,10,14,13,8,9,10,9,9,9,9,9,8,10,11,11,11,13,9,8,12,9,12,13
CONSORCIO,9,10,11,10,9,8,9,9,7,6,5,9,7,7,5,6,6,6,7,8,9,8,8,6,8,9,9,8,8,9,9,8,9,9,9,7,9,8,7,8,5,7,10,11,4,7,7,7,10,8,8,10,10,7,7,8,7,8,9,6,7,5,5,8,12,9,10,12,11,11,12,11,10,13,16,10,16,18,12,17,16,16,15,15,13,12,15,15
ITAU,26,26,26,26,26,26,26,24,20,18,20,20,20,24,24,21,23,23,24,22,21,21,24,21,20,16,13,12,14,11,13,13,10,11,15,13,11,12,11,15,12,11,11,8,10,11,11,11,11,11,11,13,12,13,10,11,14,15,13,15,8,12,11,7,8,11,7,9,9,8,7,6,7,6,7,5,6,5,5,5,4,5,5,5,5,5,5,5
